t=2026-03-08T09:15:41-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-08T09:15:41-0400 lvl=info msg="using configuration at default config path" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml
t=2026-03-08T09:15:41-0400 lvl=info msg="open config file" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml err=nil
t=2026-03-08T09:15:41-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-08T09:15:41-0400 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-03-08T09:15:41-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-03-08T09:15:42-0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-08T09:15:42-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-08T09:15:42-0400 lvl=info msg="update available" obj=updater
t=2026-03-08T09:15:42-0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://authorised-tottering-myah.ngrok-free.dev
t=2026-03-08T09:33:11-0400 lvl=info msg="join connections" obj=join id=01a48e07a23f l=127.0.0.1:8000 r=128.235.85.76:54608
t=2026-03-08T09:38:05-0400 lvl=info msg="join connections" obj=join id=ca0a1df70c4f l=127.0.0.1:8000 r=[2600:1900:0:3500::101]:64455
t=2026-03-08T09:40:27-0400 lvl=info msg="join connections" obj=join id=6f3dac4219e7 l=127.0.0.1:8000 r=[2600:1900:0:3500::101]:64352
t=2026-03-08T09:41:24-0400 lvl=info msg="join connections" obj=join id=7f15ce1d2109 l=127.0.0.1:8000 r=[2600:1900:0:3500::101]:64352
t=2026-03-08T09:42:06-0400 lvl=info msg="join connections" obj=join id=0172f816fe6e l=127.0.0.1:8000 r=[2600:1900:0:3500::101]:64352
t=2026-03-08T09:42:53-0400 lvl=info msg="join connections" obj=join id=3f2a85f347d8 l=127.0.0.1:8000 r=[2600:1900:0:3506::f00]:2999
t=2026-03-08T09:43:32-0400 lvl=info msg="join connections" obj=join id=2f83cb91bf16 l=127.0.0.1:8000 r=[2600:1900:0:3506::f00]:2999
t=2026-03-08T09:43:51-0400 lvl=info msg="join connections" obj=join id=41bcd82c08af l=127.0.0.1:8000 r=[2600:1900:0:3506::f00]:2999
t=2026-03-08T09:44:11-0400 lvl=info msg="join connections" obj=join id=a0f4c82f869e l=127.0.0.1:8000 r=[2600:1900:0:3506::f00]:2999
t=2026-03-08T09:46:36-0400 lvl=info msg="join connections" obj=join id=fc69d6c1dc59 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:46:58-0400 lvl=info msg="join connections" obj=join id=64eba5e1895d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:47:12-0400 lvl=info msg="join connections" obj=join id=b0b3b5d173d7 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:47:44-0400 lvl=info msg="join connections" obj=join id=7c0a62a19d1a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
